endpoint_id,input_records,strict_valid_records_before_grouping,broad_valid_records_before_grouping,strict_final_compound_rows,broad_final_compound_rows,strict_exact_rows,strict_censored_rows,strict_left_censored_p_rows,strict_right_censored_p_rows,strict_interval_rows,strict_quarantined_records,strict_quarantined_groups,median_n_measurements_per_group,max_exact_range,median_exact_range,earliest_year,latest_year
ABCB1_AC50_F,22,22,22,22,22,12,10,10,0,0,0,0,1.0,0.0,0.0,2006.0,2006.0
ABCB1_IC50_A,6,3,3,2,2,1,1,1,0,0,3,0,1.5,0.0,0.0,2012.0,2014.0
ABCB1_IC50_B,2202,1673,1952,1092,1237,1033,59,59,0,0,529,53,1.0,0.9700367766225568,0.0,2000.0,2024.0
ABCB1_IC50_F,399,22,374,22,149,17,5,5,0,0,377,0,1.0,0.0,0.0,1995.0,2006.0
ABCB1_Ki_B,260,93,260,90,180,72,18,18,0,0,167,0,1.0,0.15490195998574308,0.0,2002.0,2017.0
ABCB1_Ki_F,66,0,58,0,28,0,0,0,0,0,66,0,,,,1994.0,2003.0
CYP1A2_AC50_F,17143,0,9814,0,9600,0,0,0,0,0,17143,0,,,,,
CYP1A2_IC50_A,4431,3501,4211,3350,3910,1209,2141,2077,64,0,930,11,1.0,0.9180303367848799,0.0,1997.0,2024.0
CYP1A2_IC50_B,1253,300,420,278,386,72,206,191,15,0,953,1,1.0,0.5261319026780589,0.0,2010.0,2024.0
CYP1A2_Ki_A,37,35,37,34,36,32,2,2,0,0,2,0,1.0,0.8846065812979305,0.0,2005.0,2022.0
CYP1A2_Ki_B,891,20,20,17,18,17,0,0,0,0,871,1,1.0,0.43572856956143724,0.0,2015.0,2015.0
CYP2C19_AC50_F,17143,0,8947,0,8869,0,0,0,0,0,17143,0,,,,,
CYP2C19_IC50_A,3650,2735,3437,2618,3205,1064,1554,1496,58,0,915,14,1.0,0.7703259128716873,0.0,1999.0,2024.0
CYP2C19_IC50_B,1297,253,472,236,434,98,138,110,28,0,1044,3,1.0,0.026597768493794582,0.0,2003.0,2024.0
CYP2C19_Ki_A,88,45,88,45,87,43,2,2,0,0,43,0,1.0,0.0,0.0,2004.0,2021.0
CYP2C19_Ki_B,871,0,0,0,0,0,0,0,0,0,871,0,,,,,
CYP2C19_Potency_A,3712,0,3671,0,3503,0,0,0,0,0,3712,0,,,,,
CYP2C9_AC50_F,17143,0,7298,0,7226,0,0,0,0,0,17143,0,,,,,
CYP2C9_IC50_A,5882,4233,5637,4023,5196,1888,2135,2066,69,0,1649,25,1.0,0.9468689115705304,0.0,1997.0,2024.0
CYP2C9_IC50_B,1462,432,637,375,541,157,218,190,28,0,1030,12,1.0,0.7623569832004113,0.0,2010.0,2024.0
CYP2C9_Ki_A,167,34,159,34,146,32,2,2,0,0,133,0,1.0,0.0,0.0,2000.0,2020.0
CYP2C9_Ki_B,871,0,0,0,0,0,0,0,0,0,871,0,,,,,
CYP2C9_Potency_A,3082,0,3045,0,2880,0,0,0,0,0,3082,0,,,,,
CYP2D6_AC50_F,17143,0,5678,0,5445,0,0,0,0,0,17143,0,,,,,
CYP2D6_IC50_A,6796,4674,6482,4450,5984,1773,2677,2575,102,0,2122,29,1.0,0.9791498610268796,0.0,1997.0,2024.0
CYP2D6_IC50_B,1693,204,893,191,598,81,110,109,1,0,1489,3,1.0,0.35091079104772493,0.0,2010.0,2024.0
CYP2D6_IC50_F,4,4,4,4,4,0,4,4,0,0,0,0,1.0,,,2021.0,2021.0
CYP2D6_Ki_A,185,109,176,78,142,76,2,2,0,0,76,1,1.0,0.9118639112994487,0.0,1993.0,2021.0
CYP2D6_Ki_B,871,0,0,0,0,0,0,0,0,0,871,0,,,,,
CYP2D6_Potency_A,3649,0,3620,0,3310,0,0,0,0,0,3649,0,,,,,
CYP3A4_AC50_F,17143,0,8804,0,8616,0,0,0,0,0,17143,0,,,,,
CYP3A4_IC50_A,11254,7757,10507,6270,8335,3185,3085,2988,97,0,3497,240,1.0,1.0,0.0,1992.0,2024.0
CYP3A4_IC50_B,2333,916,1496,692,1108,498,194,190,4,0,1417,40,1.0,0.7999997628906463,0.0,2004.0,2024.0
CYP3A4_Ki_A,254,177,242,126,184,123,3,2,1,0,77,4,1.0,0.9516953204254452,0.0,1993.0,2024.0
CYP3A4_Ki_B,873,1,2,1,2,1,0,0,0,0,872,0,1.0,0.0,0.0,2020.0,2024.0
CYP3A4_Potency_A,13692,0,13596,0,6393,0,0,0,0,0,13692,0,,,,,
hERG_AC50_F,1822,0,1798,0,1780,0,0,0,0,0,1822,0,,,,2023.0,2023.0
hERG_AC50_T,1,1,1,1,1,1,0,0,0,0,0,0,1.0,0.0,0.0,2022.0,2022.0
hERG_IC50_A,46,39,43,37,41,26,11,11,0,0,7,0,1.0,0.023229840718475003,0.0,2012.0,2021.0
hERG_IC50_B,16198,12488,14364,11370,11747,7917,3453,3199,254,0,3710,170,1.0,1.0,0.0,2003.0,2024.0
hERG_IC50_F,237,60,226,54,117,47,7,7,0,0,177,2,1.0,0.19964687260600655,0.0,1995.0,2014.0
hERG_IC50_T,2107,1821,1970,1727,1839,1065,662,649,13,0,286,15,1.0,0.6020599913279625,0.0,2001.0,2024.0
hERG_Ki_A,46,46,46,46,46,45,1,1,0,0,0,0,1.0,0.0,0.0,2015.0,2015.0
hERG_Ki_B,3606,2052,2655,1843,1923,1312,531,505,26,0,1554,43,1.0,1.0,0.0,2001.0,2023.0
hERG_Ki_T,33,29,32,29,32,25,4,4,0,0,4,0,1.0,0.0,0.0,2006.0,2024.0
hERG_Potency_F,679,0,0,0,0,0,0,0,0,0,679,0,,,,,
