endpoint,split,fold,seed,raw_cov,raw_width,raw_interval_score,conformal_cov,conformal_width,conformal_interval_score,mondrian_cov,mondrian_width,n_test_exact
CYP3A4:IC50,random,0,0,0.43508500772797526,0.7770324215006762,6.464184931127816,0.8918083462132921,3.142266277281584,4.176431237984709,0.8918083462132921,3.142266277281584,1294
CYP3A4:IC50,random,0,1,0.3160741885625966,0.5876708382314244,7.885356982904107,0.9064914992272025,3.634000990124764,4.549644415136123,0.9064914992272025,3.634000990124764,1294
CYP3A4:IC50,random,1,0,0.33458929917106256,0.542261650361296,7.155866874892852,0.9065561416729465,3.4575519040685445,4.206123413592677,0.9065561416729465,3.4575519040685445,1327
CYP3A4:IC50,random,1,1,0.35870384325546345,0.6179178237512499,7.525255323431472,0.9178598342125094,3.4376288252798917,4.294547569894734,0.9178598342125094,3.4376288252798917,1327
CYP3A4:IC50,random,2,0,0.3235294117647059,0.5441540485763313,7.506542012528131,0.9132730015082956,3.3465508100068,4.18241428442302,0.9132730015082956,3.3465508100068,1326
CYP3A4:IC50,random,2,1,0.334841628959276,0.5504714941700894,7.423904259208105,0.9027149321266968,3.260549493849129,4.119869642569061,0.9027149321266968,3.260549493849129,1326
CYP3A4:IC50,random,3,0,0.30349013657056145,0.5258387861044349,7.269996591162003,0.9180576631259484,3.731562128095896,4.608276920850933,0.9180576631259484,3.731562128095896,1318
CYP3A4:IC50,random,3,1,0.36722306525037934,0.5883048312627078,7.359331165567618,0.8922610015174507,3.2166237167819496,4.4211886547521235,0.8922610015174507,3.2166237167819496,1318
CYP3A4:IC50,random,4,0,0.31357839459864967,0.498565096022637,7.50330385549475,0.9077269317329333,3.1497982971083736,3.9879816511862196,0.9077269317329333,3.1497982971083736,1333
CYP3A4:IC50,random,4,1,0.26556639159789946,0.4840911872030479,7.679691131233397,0.8874718679669917,3.447454508955847,4.2607406275096364,0.8874718679669917,3.447454508955847,1333
CYP3A4:IC50,scaffold,0,0,0.38826185101580135,0.6351016186838517,6.798176437838946,0.8577878103837472,2.463961937189788,3.7873499435880396,0.8577878103837472,2.463961937189788,1329
CYP3A4:IC50,scaffold,0,1,0.3039879608728367,0.48374215303792645,8.087577052725202,0.8788562829194884,2.94975781849635,4.209015078236178,0.8788562829194884,2.94975781849635,1329
CYP3A4:IC50,scaffold,1,0,0.26583159359777314,0.4730989866419592,8.80662536586648,0.9081419624217119,3.1806252220826576,4.122106485604827,0.9081419624217119,3.1806252220826576,1437
CYP3A4:IC50,scaffold,1,1,0.21572720946416143,0.45180626720947925,10.219044522296782,0.8893528183716075,3.6087529067963837,4.7689372540836485,0.8893528183716075,3.6087529067963837,1437
CYP3A4:IC50,scaffold,2,0,0.2879019908116386,0.5507862872050644,8.395452515757983,0.8813169984686064,2.741258129095343,4.023421288282694,0.8813169984686064,2.741258129095343,1306
CYP3A4:IC50,scaffold,2,1,0.30857580398162326,0.5319109998077693,7.96536759174159,0.8989280245022971,3.0336103066314695,4.0038592695897455,0.8989280245022971,3.0336103066314695,1306
CYP3A4:IC50,scaffold,3,0,0.33519553072625696,0.5435040977351597,7.667348529952603,0.87390263367917,2.6158657231908116,3.8155551479402843,0.87390263367917,2.6158657231908116,1253
CYP3A4:IC50,scaffold,3,1,0.3128491620111732,0.5714541360984656,8.318536894820703,0.8747007182761373,3.0167312478561947,4.079615474019807,0.8747007182761373,3.0167312478561947,1253
CYP3A4:IC50,scaffold,4,0,0.408483896307934,0.881202689372048,7.100367773608121,0.8546739984289081,2.8381676813425947,4.16425417093404,0.8546739984289081,2.8381676813425947,1273
CYP3A4:IC50,scaffold,4,1,0.24587588373919875,0.4653938898822056,8.577683914507155,0.8483896307934015,2.5509175707700305,3.924116054788021,0.8483896307934015,2.5509175707700305,1273
CYP3A4:IC50,assay,0,0,0.255889520714866,0.4860224052132511,12.780179664848509,0.7465475223395613,2.899095485286135,6.1824310673548855,0.7465475223395613,2.899095485286135,1231
CYP3A4:IC50,assay,0,1,0.3021933387489846,0.696269607735977,11.767338241703815,0.7481722177091795,2.8237981183254752,6.447552848280223,0.7481722177091795,2.8237981183254752,1231
CYP3A4:IC50,assay,1,0,0.20681818181818182,0.5690527798416434,12.8408805230429,0.7893939393939394,3.4269262098199356,5.775517328795975,0.7893939393939394,3.4269262098199356,1320
CYP3A4:IC50,assay,1,1,0.23484848484848486,0.4792805474092936,11.487197549556152,0.793939393939394,3.1185622119070033,5.5753965508692245,0.793939393939394,3.1185622119070033,1320
CYP3A4:IC50,assay,2,0,0.22832140015910898,0.5377559125544829,12.875557170063674,0.7374701670644391,3.466431543998003,6.2022410491730255,0.7374701670644391,3.466431543998003,1257
CYP3A4:IC50,assay,2,1,0.2211614956245028,0.5943067556028697,12.568023430836867,0.7231503579952268,3.2622460400537356,6.035555778593275,0.7231503579952268,3.2622460400537356,1257
CYP3A4:IC50,assay,3,0,0.23895027624309392,0.5340776085042138,14.36282444271985,0.6988950276243094,2.6144324830977226,9.104594992561877,0.6988950276243094,2.6144324830977226,1448
CYP3A4:IC50,assay,3,1,0.17886740331491713,0.432841804758731,13.923859971262495,0.7230662983425414,3.188827080763449,7.518674213175332,0.7230662983425414,3.188827080763449,1448
CYP3A4:IC50,assay,4,0,0.3315946348733234,0.7835448381703445,10.303491283458039,0.793591654247392,3.0583068643386,5.588838575050657,0.793591654247392,3.0583068643386,1342
CYP3A4:IC50,assay,4,1,0.30625931445603577,0.8106150051583104,10.850643434399386,0.7995529061102832,2.979452463667264,5.511430506074785,0.7995529061102832,2.979452463667264,1342
