endpoint,backbone,split,seed,treatment,eps,mae,rmse,spearman,violation
CYP2C9_IC50_A,dmpnn,scaffold,0,exact_only,1.0,0.4962587084017822,0.7049297570627118,0.37721428454607037,0.6808988764044944
CYP2C9_IC50_A,dmpnn,scaffold,0,tobit,0.0,2.848833480820722,3.2699265589311515,0.10650168234435985,0.2449438202247191
CYP2C9_IC50_A,dmpnn,scaffold,0,satisficing,0.02,0.609777936225691,0.8331360450706201,0.24382067343118496,0.6247191011235955
CYP2C9_IC50_A,dmpnn,scaffold,0,satisficing,0.05,0.6658595971053884,0.8990802911359471,0.3082749046132855,0.4786516853932584
CYP2C9_IC50_A,dmpnn,scaffold,0,satisficing,0.1,0.5193947440067899,0.7433292677594322,0.3287911995579243,0.7348314606741573
CYP2C9_IC50_A,dmpnn,scaffold,0,satisficing,0.2,0.48591170172983233,0.692507099261968,0.3182912552045168,0.8404494382022472
CYP2C9_IC50_A,dmpnn,scaffold,1,exact_only,1.0,0.4769463731610294,0.6543645193312602,0.38420637114856826,0.9101123595505618
CYP2C9_IC50_A,dmpnn,scaffold,1,tobit,0.0,3.9706654228663933,4.709445114918222,0.10950765987571151,0.2786516853932584
CYP2C9_IC50_A,dmpnn,scaffold,1,satisficing,0.02,0.8860493987460819,1.1272212057757447,0.1562108205115195,0.4606741573033708
CYP2C9_IC50_A,dmpnn,scaffold,1,satisficing,0.05,0.8373097893192016,1.0685232075111106,0.1779070249188988,0.43595505617977526
CYP2C9_IC50_A,dmpnn,scaffold,1,satisficing,0.1,0.49618868545431166,0.6759214824473774,0.3391114028480651,0.9348314606741573
CYP2C9_IC50_A,dmpnn,scaffold,1,satisficing,0.2,0.5328422644104124,0.7542923066580037,0.33976486150105023,0.6606741573033708
CYP2C9_IC50_A,dmpnn,random,0,exact_only,1.0,0.48113432577775067,0.6146042698663571,0.4734273727495394,0.9191685912240185
CYP2C9_IC50_A,dmpnn,random,0,tobit,0.0,2.4840394876193597,3.179981207787159,0.13363298405423182,0.3856812933025404
CYP2C9_IC50_A,dmpnn,random,0,satisficing,0.02,0.6631147778552442,0.8357706387119477,0.2550427475415156,0.6882217090069284
CYP2C9_IC50_A,dmpnn,random,0,satisficing,0.05,0.5105761114051837,0.6474280444033533,0.37351494789004025,0.8799076212471132
CYP2C9_IC50_A,dmpnn,random,0,satisficing,0.1,0.5312759949384599,0.6583161377664926,0.4298192876105431,0.9376443418013857
CYP2C9_IC50_A,dmpnn,random,0,satisficing,0.2,0.5056588934688667,0.6370830356522765,0.43974489192246635,0.9376443418013857
CYP2C9_IC50_A,dmpnn,random,1,exact_only,1.0,0.4482818142968398,0.5946794283642842,0.4595589181404001,0.8868360277136259
CYP2C9_IC50_A,dmpnn,random,1,tobit,0.0,2.619868751833722,2.944819245706616,0.18413170333224485,0.18013856812933027
CYP2C9_IC50_A,dmpnn,random,1,satisficing,0.02,0.7836645543745123,0.9844016252685501,0.21122811938284072,0.6096997690531177
CYP2C9_IC50_A,dmpnn,random,1,satisficing,0.05,0.5984149195781506,0.7656425528471238,0.2845526397577234,0.6212471131639723
CYP2C9_IC50_A,dmpnn,random,1,satisficing,0.1,0.5161533681438968,0.6457373845693142,0.4168723505598568,0.9445727482678984
CYP2C9_IC50_A,dmpnn,random,1,satisficing,0.2,0.5072640246224474,0.638352835525617,0.43523556359159477,0.9584295612009238
