endpoint,granularity,split,treatment,seed,eps,tau,dist,n_train,n_test,threshold,acc_mae,acc_rmse,acc_spearman,acc_n_exact,viol_violation_rate,viol_right_violation_rate,viol_left_violation_rate,viol_n_censored,dec_threshold,dec_false_safe_rate,dec_false_liability_rate,dec_balanced_accuracy,dec_decision_regret,dec_n_resolvable,dec_n_positive,dec_n_negative,cov90,cov90_width,exceed_ece,constraint_fraction_q_ge_tau,constraint_mean_probability_shortfall,constraint_mean_probability,constraint_G_left,constraint_lambda_left,split_kind,fold,feature_set,constraint_G_right,constraint_lambda_right
ABCB1_IC50,measurement,assay_fold0,satisficing,0,0.05,0.85,gaussian,1877,552,5.769551078621726,0.7415905909500359,0.990999227164471,0.48911256866180536,511,0.5609756097560976,,0.5609756097560976,41,5.769551078621726,0.3736842105263158,0.1876750700280112,0.7193203597228365,0.2737062662702935,547,190,357,0.436399217221135,1.1445282068324587,0.1933252457502179,0.38028169014084506,0.14224786631694314,0.7439144634585617,0.05571985989809036,2.5952341556549072,assay,0,morgan,0.031350027769804,0.0
ABCB1_IC50,measurement,assay_fold0,satisficing,1,0.05,0.85,gaussian,1877,552,5.769551078621726,0.7255693903478118,0.9814770598901258,0.49856467097947765,511,0.5853658536585366,,0.5853658536585366,41,5.769551078621726,0.35789473684210527,0.18487394957983194,0.7286156567890314,0.26895339170088317,547,190,357,0.461839530332681,1.1490973044729018,0.19037358070253546,0.4014084507042254,0.14511891102872795,0.7467848190802461,0.03756839409470558,0.3248339891433716,assay,0,morgan,0.03929721191525459,0.0
ABCB1_IC50,measurement,assay_fold1,satisficing,0,0.05,0.85,gaussian,1968,461,5.693574972449312,0.851310938062307,1.2062245391934026,0.5982212558906471,425,0.4444444444444444,1.0,0.3939393939393939,36,5.693574972449312,0.29523809523809524,0.16334661354581673,0.7707076456080441,0.23164476191860858,461,210,251,0.4776470588235294,1.3706790891498948,0.14981825669642723,0.5578231292517006,0.08430508825841417,0.8285176576267635,0.03259940817952156,0.0,assay,1,morgan,0.028528498485684395,0.0
ABCB1_IC50,measurement,assay_fold1,satisficing,1,0.05,0.85,gaussian,1968,461,5.693574972449312,0.7996040020127003,1.1518241132481846,0.6094105100708129,425,0.4722222222222222,1.0,0.42424242424242425,36,5.693574972449312,0.2523809523809524,0.17131474103585656,0.7881521532915956,0.2203775708007146,461,210,251,0.4447058823529412,1.2202882322213022,0.1464723201691615,0.5102040816326531,0.11700338129237793,0.7783865451597777,0.055710382759571075,1.0838770866394043,assay,1,morgan,0.04115409776568413,0.0
ABCB1_IC50,measurement,assay_fold2,satisficing,0,0.05,0.85,gaussian,1861,568,5.568636235841012,0.8636716161809441,1.1236567623286484,0.5606302550346433,538,0.43333333333333335,,0.43333333333333335,30,5.568636235841012,0.39488636363636365,0.2372093023255814,0.6839521670190275,0.3501715332688806,567,352,215,0.4052044609665427,1.1407227345162418,0.25959581502427737,0.5098039215686274,0.09147137674845816,0.8079896350628276,0.05088001862168312,1.7602410316467285,assay,2,morgan,0.030200833454728127,0.0
ABCB1_IC50,measurement,assay_fold2,satisficing,1,0.05,0.85,gaussian,1861,568,5.568636235841012,0.8733662965162015,1.130064370501896,0.5651242720850067,538,0.4,,0.4,30,5.568636235841012,0.40625,0.23255813953488372,0.6805959302325582,0.35356348011850536,567,352,215,0.3940520446096654,1.1181726195928172,0.26099129932152104,0.5359477124183006,0.09800750541501206,0.8080515182221794,0.07658190280199051,4.878268241882324,assay,2,morgan,0.016331344842910767,0.0
ABCB1_IC50,measurement,assay_fold3,satisficing,0,0.05,0.85,gaussian,1979,450,5.668269684521283,0.7488295539959667,1.0720042451906002,0.6742433245976692,406,0.5681818181818182,,0.5681818181818182,44,5.668269684521283,0.2191780821917808,0.18222222222222223,0.7992998477929985,0.24663565172129304,444,219,225,0.6477832512315271,1.8855458428384995,0.11579327607007,0.4316546762589928,0.11745331484215939,0.774133696360909,0.05431799218058586,1.1894423961639404,assay,3,morgan,0.038942817598581314,0.0
ABCB1_IC50,measurement,assay_fold3,satisficing,1,0.05,0.85,gaussian,1979,450,5.668269684521283,0.7699214800511796,1.086568620511752,0.6673201581120005,406,0.5681818181818182,,0.5681818181818182,44,5.668269684521283,0.1643835616438356,0.24,0.7978082191780822,0.24572331442597214,444,219,225,0.6502463054187192,1.8487201876835127,0.11428332698128418,0.31654676258992803,0.18535333314784913,0.6901090645421345,0.05045977979898453,0.12397566437721252,assay,3,morgan,0.04366409406065941,0.0
ABCB1_IC50,measurement,assay_fold4,satisficing,0,0.05,0.85,gaussian,2031,398,5.707749581237945,0.8707846252622542,1.1903291724858822,0.3939478737498443,366,0.6875,1.0,0.6551724137931034,32,5.707749581237945,0.3515151515151515,0.23376623376623376,0.7073593073593074,0.3050316506458127,396,165,231,0.48633879781420764,1.2585482829950838,0.22384391914060675,0.3576158940397351,0.11639182201056676,0.7593786317944551,0.020141752436757088,0.0,assay,4,morgan,0.041099146008491516,0.0
ABCB1_IC50,measurement,assay_fold4,satisficing,1,0.05,0.85,gaussian,2031,398,5.707749581237945,0.8752708436927762,1.1705892147538155,0.41264550595828947,366,0.6875,1.0,0.6551724137931034,32,5.707749581237945,0.34545454545454546,0.2813852813852814,0.6865800865800866,0.3135546922475427,396,165,231,0.47540983606557374,1.2466115987681217,0.22563147577647258,0.18543046357615894,0.16251374208840813,0.7050291541384578,0.026321250945329666,1.5203056335449219,assay,4,morgan,0.04254788160324097,0.0
ABCB1_IC50,measurement,document_fold0,satisficing,0,0.05,0.85,gaussian,1986,443,5.7447274948966935,1.154757926284649,1.4843754174360733,0.17757389246129682,406,0.7837837837837838,,0.7837837837837838,37,5.7447274948966935,0.4625,0.36879432624113473,0.5843528368794326,0.4023888637623551,442,160,282,0.22167487684729065,0.7243941191481031,0.3804724723535451,0.5205479452054794,0.1033400113437721,0.7977181654554143,0.0533890463411808,1.4034219980239868,document,0,morgan,0.013058857060968876,0.0
ABCB1_IC50,measurement,document_fold0,satisficing,1,0.05,0.85,gaussian,1986,443,5.7447274948966935,1.1509271593463264,1.4688750461979385,0.17876923328551017,406,0.8108108108108109,,0.8108108108108109,37,5.7447274948966935,0.45625,0.3829787234042553,0.5803856382978723,0.41488429897993817,442,160,282,0.2660098522167488,0.8133563422821617,0.3833628894732075,0.21232876712328766,0.1730586896485251,0.6969934013499038,0.04780459403991699,0.0,document,0,morgan,0.042433757334947586,0.0
ABCB1_IC50,measurement,document_fold1,satisficing,0,0.05,0.85,gaussian,1665,764,5.661543506395395,0.9956921830245163,1.2970777145764167,0.5106605817000314,711,0.7924528301886793,,0.7924528301886793,53,5.661543506395395,0.26737967914438504,0.2928759894459103,0.7198721657048524,0.2936825239116122,753,374,379,0.2672292545710267,0.87579577066628,0.2208478309078796,0.23076923076923078,0.1669506931577122,0.705551128760364,0.033179156482219696,1.6159336566925049,document,1,morgan,0.025201544165611267,0.0
ABCB1_IC50,measurement,document_fold1,satisficing,1,0.05,0.85,gaussian,1665,764,5.661543506395395,1.0285232597176923,1.3390245722396175,0.48952468535549665,711,0.8113207547169812,,0.8113207547169812,53,5.661543506395395,0.28342245989304815,0.2717678100263852,0.7224048650402833,0.28963647471002046,753,374,379,0.27566807313642755,0.8907486120576571,0.2269512681962207,0.27692307692307694,0.17973597720727844,0.693020052131307,0.04689182713627815,0.0,document,1,morgan,0.036754313856363297,0.0
ABCB1_IC50,measurement,document_fold2,satisficing,0,0.05,0.85,gaussian,2065,364,5.650000220873455,1.359681592199927,1.673911876371918,0.40472991945400644,333,0.5806451612903226,1.0,0.5666666666666667,31,5.650000220873455,0.5677083333333334,0.15204678362573099,0.6401224415204678,0.3951850545808925,363,192,171,0.3783783783783784,1.7256340967050199,0.2659397274035492,0.5328947368421053,0.09765595846163984,0.8044882505445035,0.06408471614122391,1.4084715843200684,document,2,morgan,0.003494131611660123,0.0
ABCB1_IC50,measurement,document_fold2,satisficing,1,0.05,0.85,gaussian,2065,364,5.650000220873455,1.2013711616467917,1.495772959697376,0.421045433983221,333,0.6774193548387096,1.0,0.6666666666666666,31,5.650000220873455,0.515625,0.2631578947368421,0.610608552631579,0.38280117989646595,363,192,171,0.3483483483483483,1.3772940390340114,0.29668996716147683,0.631578947368421,0.06808071557361475,0.8471210547502883,0.02649172767996788,3.3516149520874023,document,2,morgan,0.016858747228980064,0.0
ABCB1_IC50,measurement,document_fold3,satisficing,0,0.05,0.85,gaussian,2021,408,5.619788758288394,1.041025177590129,1.4836363995324249,0.4427851841853714,397,0.9090909090909091,1.0,0.8888888888888888,11,5.619788758288394,0.404,0.20253164556962025,0.6967341772151898,0.3424634706540654,408,250,158,0.3954659949622166,1.049189277888322,0.25807404652036736,0.47674418604651164,0.1284752806927896,0.7621991554247011,0.04901086539030075,0.0,document,3,morgan,0.025982758030295372,0.0
ABCB1_IC50,measurement,document_fold3,satisficing,1,0.05,0.85,gaussian,2021,408,5.619788758288394,1.0542705460310897,1.4827663708550958,0.4589355126968995,397,0.8181818181818182,1.0,0.7777777777777778,11,5.619788758288394,0.4,0.2088607594936709,0.6955696202531645,0.3321026497527165,408,250,158,0.3904282115869018,1.0748045134368436,0.26642856785052266,0.48255813953488375,0.09706200000758465,0.794449838286115,0.02170575223863125,0.0,document,3,morgan,0.035767849534749985,0.0
ABCB1_IC50,measurement,document_fold4,satisficing,0,0.05,0.85,gaussian,1979,450,5.746904414150968,0.7795912875578211,1.0857419538030606,0.32926385714863793,399,0.6274509803921569,1.0,0.6041666666666666,51,5.746904414150968,0.49673202614379086,0.15824915824915825,0.6725094078035254,0.30157634983241627,450,153,297,0.3609022556390977,0.8048527057802455,0.22907225826494726,0.3333333333333333,0.10988272975874239,0.7685447151809602,0.031926561146974564,1.46316397190094,document,4,morgan,0.05402831360697746,0.4028313457965851
ABCB1_IC50,measurement,document_fold4,satisficing,1,0.05,0.85,gaussian,1979,450,5.746904414150968,0.797225079405842,1.1024643610209872,0.3223789983406604,399,0.6274509803921569,1.0,0.6041666666666666,51,5.746904414150968,0.5555555555555556,0.18518518518518517,0.6296296296296295,0.3160440923934853,450,153,297,0.37092731829573933,0.8391870019084703,0.24722669763677096,0.4621212121212121,0.09986080419487839,0.7890083854373412,0.049071259796619415,1.7679888010025024,document,4,morgan,0.03984087333083153,0.0
ABCB1_IC50,measurement,random_fold0,satisficing,0,0.05,0.85,gaussian,1943,486,5.678817209577513,0.6002571982898653,0.8148857817657038,0.747887092078227,452,0.5588235294117647,1.0,0.5454545454545454,34,5.678817209577513,0.17982456140350878,0.25390625,0.7831345942982456,0.22774023786026232,484,228,256,0.5862831858407079,1.2604412969257976,0.13568952535472345,0.5033557046979866,0.08558456567389437,0.8044838159412051,0.019118737429380417,1.6996245384216309,random,0,morgan,0.04891747981309891,0.0
ABCB1_IC50,measurement,random_fold0,satisficing,1,0.05,0.85,gaussian,1943,486,5.678817209577513,0.6082584237637947,0.8307575585660592,0.7459431192582907,452,0.5588235294117647,1.0,0.5454545454545454,34,5.678817209577513,0.16666666666666666,0.26953125,0.7819010416666667,0.2316950137463166,484,228,256,0.6172566371681416,1.3273702386868282,0.13770988760229824,0.31543624161073824,0.1398190720309291,0.7363085834364246,0.028450943529605865,0.4934990406036377,random,0,morgan,0.028773287311196327,0.0
ABCB1_IC50,measurement,random_fold1,satisficing,0,0.05,0.85,gaussian,1943,486,5.690369832574101,0.5445972336180596,0.7723770276780801,0.7752674729303829,450,0.3888888888888889,1.0,0.37142857142857144,36,5.690369832574101,0.21621621621621623,0.1417624521072797,0.8210106658382521,0.19161727663056283,483,222,261,0.5511111111111111,1.0408571768502297,0.12276848968791504,0.4421768707482993,0.12025451280412255,0.7722930860383724,0.08642235398292542,3.642235279083252,random,1,morgan,0.010661007836461067,0.0
ABCB1_IC50,measurement,random_fold1,satisficing,1,0.05,0.85,gaussian,1943,486,5.690369832574101,0.5961272241595655,0.8225929850595282,0.7771917823342667,450,0.4166666666666667,1.0,0.4,36,5.690369832574101,0.11261261261261261,0.2796934865900383,0.8038469503986745,0.2194301252039553,483,222,261,0.6022222222222222,1.3357638815514388,0.14551671338661493,0.3129251700680272,0.15239456079721003,0.7293934882772773,0.027160625904798508,1.1528472900390625,random,1,morgan,0.00965662021189928,0.0
ABCB1_IC50,measurement,random_fold2,satisficing,0,0.05,0.85,gaussian,1943,486,5.681936665037238,0.4919966554277442,0.6861586841268426,0.8295021036567178,445,0.7804878048780488,1.0,0.7692307692307693,41,5.681936665037238,0.13392857142857142,0.15503875968992248,0.855516334440753,0.18026069828130317,482,224,258,0.6247191011235955,1.17866576290228,0.08690938945373586,0.24647887323943662,0.16932089709296194,0.7081951369032778,0.04449353739619255,0.0,random,2,morgan,0.06311683356761932,1.3116832971572876
ABCB1_IC50,measurement,random_fold2,satisficing,1,0.05,0.85,gaussian,1943,486,5.681936665037238,0.5142008439619785,0.7251604406700557,0.8258098995025945,445,0.6341463414634146,1.0,0.6153846153846154,41,5.681936665037238,0.1875,0.13178294573643412,0.8403585271317829,0.1809900297321928,482,224,258,0.5797752808988764,1.1488899434511146,0.08494143264844155,0.6338028169014085,0.09331657625785075,0.8202164484391694,0.061437204480171204,2.020599365234375,random,2,morgan,0.019501466304063797,0.0
ABCB1_IC50,measurement,random_fold3,satisficing,0,0.05,0.85,gaussian,1943,486,5.6777807052660805,0.5802829132815559,0.7997110175794386,0.7969391878262001,451,0.6,1.0,0.5882352941176471,35,5.6777807052660805,0.09745762711864407,0.23387096774193547,0.8343357025697102,0.18435225989864365,484,236,248,0.5742793791574279,1.3032424981665507,0.09307268531674226,0.12837837837837837,0.24303751864661707,0.6226479415422506,0.07347628474235535,2.347628355026245,random,3,morgan,0.01896161213517189,0.0
ABCB1_IC50,measurement,random_fold3,satisficing,1,0.05,0.85,gaussian,1943,486,5.6777807052660805,0.5529877637381873,0.7866434159353489,0.7982009337012324,451,0.5428571428571428,1.0,0.5294117647058824,35,5.6777807052660805,0.13559322033898305,0.1814516129032258,0.8414775833788957,0.17957104356202067,484,236,248,0.5676274944567627,1.250972418357343,0.08806150425469732,0.31756756756756754,0.1939148749975099,0.6876464387340416,0.05445229634642601,0.4452296197414398,random,3,morgan,0.019258011132478714,0.0
ABCB1_IC50,measurement,random_fold4,satisficing,0,0.05,0.85,gaussian,1944,485,5.698970004336019,0.5722210305959351,0.7713267938928529,0.7973559184161609,448,0.4594594594594595,1.0,0.4444444444444444,37,5.698970004336019,0.24537037037037038,0.09737827715355805,0.8286256762380357,0.20177819694396767,483,216,267,0.6428571428571429,1.5122723986348272,0.09180818556695577,0.636986301369863,0.060997795495124824,0.8552472053004966,0.03356039896607399,0.01508486270904541,random,4,morgan,0.01278203260153532,0.0
ABCB1_IC50,measurement,random_fold4,satisficing,1,0.05,0.85,gaussian,1944,485,5.698970004336019,0.5830760957358109,0.78753423537981,0.7866984608065131,448,0.4594594594594595,1.0,0.4444444444444444,37,5.698970004336019,0.3148148148148148,0.06741573033707865,0.8088847274240533,0.21045447321896402,483,216,267,0.5580357142857143,1.5187180739529758,0.12205628768424452,0.6027397260273972,0.06967182933244236,0.84272405144261,0.025424186140298843,0.12052512168884277,random,4,morgan,0.0705047994852066,2.0504798889160156
ABCB1_IC50,measurement,scaffold_fold0,satisficing,0,0.05,0.85,gaussian,1905,524,5.675717544702307,0.6393843908518316,0.8718159418859476,0.7539380062940343,494,0.5666666666666667,1.0,0.5517241379310345,30,5.675717544702307,0.2720306513409962,0.1346153846153846,0.7966769820218096,0.21601563674393454,521,261,260,0.46356275303643724,1.005422031065467,0.14863001425392083,0.5555555555555556,0.08661464424081051,0.8234271777676777,0.045663196593523026,1.499814510345459,scaffold,0,morgan,0.03305897116661072,0.0
ABCB1_IC50,measurement,scaffold_fold0,satisficing,1,0.05,0.85,gaussian,1905,524,5.675717544702307,0.6492447208387359,0.8520887665318853,0.7519678315998709,494,0.6333333333333333,1.0,0.6206896551724138,30,5.675717544702307,0.20306513409961685,0.20384615384615384,0.7965443560271146,0.2085006266566657,521,261,260,0.4817813765182186,1.1625034235095766,0.1447273888635605,0.45098039215686275,0.09275893367810509,0.7945806168464695,0.026500334963202477,3.7486977577209473,scaffold,0,morgan,0.052595704793930054,0.25957047939300537
ABCB1_IC50,measurement,scaffold_fold1,satisficing,0,0.05,0.85,gaussian,1938,491,5.663544877622233,0.7817183520929942,1.084499721915897,0.6606282476702718,456,0.5428571428571428,,0.5428571428571428,35,5.663544877622233,0.2032520325203252,0.21810699588477367,0.7893204857974505,0.2301839299179934,489,246,243,0.3969298245614035,0.9528195658138937,0.1719909115467817,0.5337837837837838,0.0895525519276148,0.815597849716043,0.053086042404174805,0.30860424041748047,scaffold,1,morgan,0.005166169255971909,0.0
