endpoint,granularity,split,treatment,seed,eps,tau,dist,n_train,n_test,threshold,acc_mae,acc_rmse,acc_spearman,acc_n_exact,viol_violation_rate,viol_right_violation_rate,viol_left_violation_rate,viol_n_censored,dec_threshold,dec_false_safe_rate,dec_false_liability_rate,dec_balanced_accuracy,dec_decision_regret,dec_n_resolvable,dec_n_positive,dec_n_negative,cov90,cov90_width,exceed_ece,split_kind,fold,feature_set,anchor_weight,censored_weight
ABCB1_IC50,measurement,random_fold0,weighted_tobit_anchor,0,0.1,0.85,gaussian,1943,486,5.678817209577513,0.5754364565281398,0.8094513939271798,0.7491180517700704,452,0.8823529411764706,1.0,0.8787878787878788,34,5.678817209577513,0.18859649122807018,0.2109375,0.8002330043859649,0.22048518417027538,484,228,256,0.5575221238938053,1.1448545903574592,0.12964366414024858,random,0,morgan,1.0,0.1
ABCB1_IC50,measurement,random_fold0,weighted_tobit_anchor,0,0.25,0.85,gaussian,1943,486,5.678817209577513,0.5834537657137869,0.8118901121497152,0.7478388127786578,452,0.8823529411764706,1.0,0.8787878787878788,34,5.678817209577513,0.16666666666666666,0.265625,0.7838541666666667,0.22723789288550067,484,228,256,0.5154867256637168,1.0408094272505122,0.15595194032268855,random,0,morgan,1.0,0.25
ABCB1_IC50,measurement,random_fold0,weighted_tobit_anchor,0,0.5,0.85,gaussian,1943,486,5.678817209577513,0.6039243592497803,0.8291956249706844,0.7490228170853399,452,0.6764705882352942,1.0,0.6666666666666666,34,5.678817209577513,0.2236842105263158,0.17578125,0.800267269736842,0.224209650941021,484,228,256,0.5331858407079646,1.2581149802214011,0.11440002989910561,random,0,morgan,1.0,0.5
ABCB1_IC50,measurement,random_fold0,weighted_tobit_anchor,0,0.75,0.85,gaussian,1943,486,5.678817209577513,0.5944124149924561,0.8249094805740569,0.7478965789930819,452,0.7058823529411765,1.0,0.696969696969697,34,5.678817209577513,0.2675438596491228,0.1484375,0.7920093201754386,0.22439287039188435,484,228,256,0.5486725663716814,1.2231839748185827,0.1268216170895669,random,0,morgan,1.0,0.75
ABCB1_IC50,measurement,random_fold0,weighted_tobit_anchor,0,1.0,0.85,gaussian,1943,486,5.678817209577513,0.5831870607255303,0.8110465363735183,0.753594835919629,452,0.6764705882352942,1.0,0.6666666666666666,34,5.678817209577513,0.20175438596491227,0.21484375,0.7917009320175439,0.2201186633613236,484,228,256,0.5376106194690266,1.1544545972476885,0.13118693864609104,random,0,morgan,1.0,1.0
ABCB1_IC50,measurement,random_fold0,weighted_tobit_anchor,1,0.1,0.85,gaussian,1943,486,5.678817209577513,0.5790067105729585,0.810030950065955,0.748164641136311,452,0.8529411764705882,1.0,0.8484848484848485,34,5.678817209577513,0.20614035087719298,0.21484375,0.7895079495614035,0.22011032115596366,484,228,256,0.5619469026548672,1.166706603421933,0.12857391052618203,random,0,morgan,1.0,0.1
ABCB1_IC50,measurement,random_fold0,weighted_tobit_anchor,1,0.25,0.85,gaussian,1943,486,5.678817209577513,0.5700844170861024,0.8055810016894502,0.7517107736167892,452,0.8823529411764706,1.0,0.8787878787878788,34,5.678817209577513,0.19298245614035087,0.234375,0.7863212719298245,0.22189814820931458,484,228,256,0.5376106194690266,1.1402716699854138,0.13794722595678452,random,0,morgan,1.0,0.25
ABCB1_IC50,measurement,random_fold0,weighted_tobit_anchor,1,0.5,0.85,gaussian,1943,486,5.678817209577513,0.587270170737464,0.8168581023446163,0.7540210972994058,452,0.8823529411764706,1.0,0.8787878787878788,34,5.678817209577513,0.13157894736842105,0.27734375,0.7955386513157895,0.22646523336569938,484,228,256,0.5376106194690266,1.191404936943691,0.14279715365210557,random,0,morgan,1.0,0.5
ABCB1_IC50,measurement,random_fold0,weighted_tobit_anchor,1,0.75,0.85,gaussian,1943,486,5.678817209577513,0.5765471584018261,0.8090617559729016,0.7516465339377578,452,0.7941176470588235,1.0,0.7878787878787878,34,5.678817209577513,0.20614035087719298,0.2265625,0.7836485745614035,0.22316975088138316,484,228,256,0.5287610619469026,1.1590812592778903,0.14182656302436936,random,0,morgan,1.0,0.75
ABCB1_IC50,measurement,random_fold0,weighted_tobit_anchor,1,1.0,0.85,gaussian,1943,486,5.678817209577513,0.5910911722868659,0.8188717402347084,0.7517757119332655,452,0.7941176470588235,1.0,0.7878787878787878,34,5.678817209577513,0.14912280701754385,0.28125,0.7848135964912281,0.2297551639098059,484,228,256,0.5110619469026548,1.1726670021352834,0.15293460851050897,random,0,morgan,1.0,1.0
ABCB1_IC50,measurement,random_fold1,weighted_tobit_anchor,0,0.1,0.85,gaussian,1943,486,5.690369832574101,0.5250565976292939,0.7625510650808498,0.7838340084435361,450,0.5833333333333334,1.0,0.5714285714285714,36,5.690369832574101,0.16216216216216217,0.19157088122605365,0.8231334783058921,0.199586270052666,483,222,261,0.6,1.24203716660214,0.1103278896050055,random,1,morgan,1.0,0.1
ABCB1_IC50,measurement,random_fold1,weighted_tobit_anchor,0,0.25,0.85,gaussian,1943,486,5.690369832574101,0.5323189001903517,0.7598840284597874,0.7836981095431771,450,0.5277777777777778,1.0,0.5142857142857142,36,5.690369832574101,0.19369369369369369,0.1724137931034483,0.8169462566014289,0.19951877009611432,483,222,261,0.6177777777777778,1.2811306106030416,0.10776950230380909,random,1,morgan,1.0,0.25
ABCB1_IC50,measurement,random_fold1,weighted_tobit_anchor,0,0.5,0.85,gaussian,1943,486,5.690369832574101,0.5255162128206016,0.7596997197375825,0.7883961511653215,450,0.6111111111111112,1.0,0.6,36,5.690369832574101,0.14864864864864866,0.21839080459770116,0.816480273376825,0.20308673901599542,483,222,261,0.6511111111111111,1.3474064481339965,0.10942019841152045,random,1,morgan,1.0,0.5
ABCB1_IC50,measurement,random_fold1,weighted_tobit_anchor,0,0.75,0.85,gaussian,1943,486,5.690369832574101,0.534910606527657,0.7690797286044908,0.7847975545306322,450,0.5833333333333334,1.0,0.5714285714285714,36,5.690369832574101,0.14414414414414414,0.2260536398467433,0.8149011080045563,0.2013701129317057,483,222,261,0.5488888888888889,1.1501363708029821,0.12475495072361062,random,1,morgan,1.0,0.75
