endpoint,granularity,split,treatment,seed,eps,tau,dist,n_train,n_test,threshold,acc_mae,acc_rmse,acc_spearman,acc_n_exact,viol_violation_rate,viol_right_violation_rate,viol_left_violation_rate,viol_n_censored,dec_threshold,dec_false_safe_rate,dec_false_liability_rate,dec_balanced_accuracy,dec_decision_regret,dec_n_resolvable,dec_n_positive,dec_n_negative,cov90,cov90_width,exceed_ece,split_kind,fold,feature_set,anchor_weight,censored_weight
ABCB1_IC50,measurement,random_fold0,weighted_tobit_anchor,0,2.0,0.85,gaussian,1943,486,5.678817209577513,0.5889648175626654,0.8101601737817637,0.753797764927105,452,0.7352941176470589,1.0,0.7272727272727273,34,5.678817209577513,0.15350877192982457,0.26953125,0.7884799890350878,0.23277119553633668,484,228,256,0.5730088495575221,1.283222493459557,0.13774483421398215,random,0,morgan,1.0,2.0
ABCB1_IC50,measurement,random_fold0,weighted_tobit_anchor,0,4.0,0.85,gaussian,1943,486,5.678817209577513,0.5838301758752523,0.8097422626399726,0.7565812893154398,452,0.6176470588235294,1.0,0.6060606060606061,34,5.678817209577513,0.17982456140350878,0.20703125,0.8065720942982456,0.21464739848411327,484,228,256,0.5176991150442478,1.1398631404725008,0.13086606471279327,random,0,morgan,1.0,4.0
ABCB1_IC50,measurement,random_fold0,weighted_tobit_anchor,0,8.0,0.85,gaussian,1943,486,5.678817209577513,0.596603774719833,0.8200399954568652,0.7523171808651392,452,0.5588235294117647,1.0,0.5454545454545454,34,5.678817209577513,0.17105263157894737,0.22265625,0.8031455592105263,0.2138592829188309,484,228,256,0.5309734513274337,1.1130143903680987,0.13509742775477154,random,0,morgan,1.0,8.0
ABCB1_IC50,measurement,random_fold0,weighted_tobit_anchor,1,2.0,0.85,gaussian,1943,486,5.678817209577513,0.5822843055975014,0.8100199590648829,0.7495173469192667,452,0.7058823529411765,1.0,0.696969696969697,34,5.678817209577513,0.19736842105263158,0.23046875,0.7860814144736843,0.22744014038252675,484,228,256,0.5553097345132744,1.2537791595333565,0.14066280831304998,random,0,morgan,1.0,2.0
ABCB1_IC50,measurement,random_fold0,weighted_tobit_anchor,1,4.0,0.85,gaussian,1943,486,5.678817209577513,0.5894707770565697,0.8192247792277852,0.7509676752724099,452,0.7058823529411765,1.0,0.696969696969697,34,5.678817209577513,0.17543859649122806,0.2421875,0.7911869517543859,0.22734827876507,484,228,256,0.5287610619469026,1.192444104473024,0.15055826127746585,random,0,morgan,1.0,4.0
ABCB1_IC50,measurement,random_fold0,weighted_tobit_anchor,1,8.0,0.85,gaussian,1943,486,5.678817209577513,0.5873848492196475,0.8165293848897642,0.755354553210214,452,0.5,1.0,0.48484848484848486,34,5.678817209577513,0.19736842105263158,0.19921875,0.8017064144736843,0.2106689261412291,484,228,256,0.5154867256637168,1.1408753490350856,0.12944360371286753,random,0,morgan,1.0,8.0
ABCB1_IC50,measurement,random_fold1,weighted_tobit_anchor,0,2.0,0.85,gaussian,1943,486,5.690369832574101,0.5452711562450857,0.7659393522862334,0.7799882942487409,450,0.4166666666666667,1.0,0.4,36,5.690369832574101,0.1981981981981982,0.1724137931034483,0.8146940043491768,0.20881387583495595,483,222,261,0.6466666666666666,1.408957924610553,0.0908142263397217,random,1,morgan,1.0,2.0
ABCB1_IC50,measurement,random_fold1,weighted_tobit_anchor,0,4.0,0.85,gaussian,1943,486,5.690369832574101,0.5471803031224205,0.7837872086829853,0.77878369361386,450,0.5,1.0,0.4857142857142857,36,5.690369832574101,0.14414414414414414,0.22988505747126436,0.8129853991922957,0.20497333444687585,483,222,261,0.5444444444444444,1.2476309612271994,0.13014067288434178,random,1,morgan,1.0,4.0
ABCB1_IC50,measurement,random_fold1,weighted_tobit_anchor,0,8.0,0.85,gaussian,1943,486,5.690369832574101,0.5432120086337291,0.776091969220525,0.7784035612347203,450,0.3888888888888889,1.0,0.37142857142857144,36,5.690369832574101,0.18468468468468469,0.15708812260536398,0.8291135963549756,0.20087924920435019,483,222,261,0.64,1.382279064353105,0.11119544939564194,random,1,morgan,1.0,8.0
ABCB1_IC50,measurement,random_fold1,weighted_tobit_anchor,1,2.0,0.85,gaussian,1943,486,5.690369832574101,0.5354271129472945,0.7657142990508139,0.7793723636518962,450,0.4722222222222222,1.0,0.45714285714285713,36,5.690369832574101,0.16216216216216217,0.19923371647509577,0.819302060681371,0.20407900118704975,483,222,261,0.6,1.3048584483197319,0.1212673125369502,random,1,morgan,1.0,2.0
