metric,a,b,split_kind,n_endpoints,median_delta,mean_delta,wilcoxon_stat,p_value
acc_mae,satisficing_assay@0.05,satisficing@0.05,assay,8,-0.06681893066560157,-0.06907966054536324,0.0,0.0078125
viol_violation_rate,satisficing_assay@0.05,satisficing@0.05,assay,8,-0.12163624797610073,-0.1330264648969139,0.0,0.0078125
dec_false_safe_rate,satisficing_assay@0.05,satisficing@0.05,assay,8,-0.06292269163163874,-0.06607843510555178,0.0,0.0078125
acc_mae,satisficing_assay@0.05,satisficing@0.05,document,8,-0.07228365150044858,-0.06947000626368535,0.0,0.0078125
viol_violation_rate,satisficing_assay@0.05,satisficing@0.05,document,8,-0.14262913792913554,-0.15147877988100103,0.0,0.0078125
dec_false_safe_rate,satisficing_assay@0.05,satisficing@0.05,document,8,-0.07199444293672758,-0.06410298130018724,0.0,0.0078125
acc_mae,satisficing_assay@0.05,satisficing@0.05,random,8,-0.05312560137566494,-0.05223331500490156,0.0,0.0078125
viol_violation_rate,satisficing_assay@0.05,satisficing@0.05,random,8,-0.13603193306139205,-0.14710196236798484,0.0,0.0078125
dec_false_safe_rate,satisficing_assay@0.05,satisficing@0.05,random,8,-0.06774705171157734,-0.05547315583180869,2.0,0.0234375
acc_mae,satisficing_assay@0.05,satisficing@0.05,scaffold,8,-0.05479662042911315,-0.05920464338877687,0.0,0.0078125
viol_violation_rate,satisficing_assay@0.05,satisficing@0.05,scaffold,8,-0.1699011842737175,-0.16207374107278813,0.0,0.0078125
dec_false_safe_rate,satisficing_assay@0.05,satisficing@0.05,scaffold,8,-0.05425249010238577,-0.047996142882226256,2.0,0.0234375
acc_mae,satisficing_assay@0.05,satisficing@0.05,source,8,0.02123361341172586,0.014920329731743731,8.0,0.1953125
viol_violation_rate,satisficing_assay@0.05,satisficing@0.05,source,8,-0.22482974243912487,-0.19793096472149474,0.0,0.0078125
dec_false_safe_rate,satisficing_assay@0.05,satisficing@0.05,source,8,0.045980276551598476,0.042471471417002735,10.0,0.3125
acc_mae,satisficing_assay@0.05,satisficing@0.05,threshold,8,-0.013768818400442528,-0.019179862106589854,10.0,0.3125
dec_false_safe_rate,satisficing_assay@0.05,satisficing@0.05,threshold,8,-0.031586697754325654,-0.04482294321450356,0.0,0.0078125
