comparison,metric,a,b,split_kind,n_endpoints,median_delta,mean_delta,wilcoxon_stat,p_value
assay_vs_satisf,acc_mae,satisficing_assay@0.05,satisficing@0.05,assay,8,-0.012005621303060876,-0.009442548319273047,4.0,0.0546875
assay_vs_satisf,viol_violation_rate,satisficing_assay@0.05,satisficing@0.05,assay,8,0.005994932282052445,0.007756014123792898,12.0,0.4609375
assay_vs_satisf,dec_false_safe_rate,satisficing_assay@0.05,satisficing@0.05,assay,8,0.002751879399152529,0.00215343489881982,16.0,0.84375
assay_vs_satisf,acc_mae,satisficing_assay@0.05,satisficing@0.05,document,8,-0.012359467172458616,-0.014018245066490062,2.0,0.0234375
assay_vs_satisf,viol_violation_rate,satisficing_assay@0.05,satisficing@0.05,document,8,-0.0017934438829001198,0.002164764950543893,17.0,0.9453125
assay_vs_satisf,dec_false_safe_rate,satisficing_assay@0.05,satisficing@0.05,document,8,0.006574239287000849,0.004612075029246876,14.0,0.640625
assay_vs_satisf,acc_mae,satisficing_assay@0.05,satisficing@0.05,random,8,-0.011319434466182693,-0.012695627937387877,0.0,0.0078125
assay_vs_satisf,viol_violation_rate,satisficing_assay@0.05,satisficing@0.05,random,8,0.001929215936996298,-0.0040238944269336,15.0,0.7421875
assay_vs_satisf,dec_false_safe_rate,satisficing_assay@0.05,satisficing@0.05,random,8,-0.0005389921022492944,0.0013157596423240651,17.0,0.9453125
assay_vs_satisf,acc_mae,satisficing_assay@0.05,satisficing@0.05,scaffold,8,-0.013613739551962933,-0.012752900453553664,5.0,0.078125
assay_vs_satisf,viol_violation_rate,satisficing_assay@0.05,satisficing@0.05,scaffold,8,-0.017766986029679577,-0.017039051155600837,7.0,0.1484375
assay_vs_satisf,dec_false_safe_rate,satisficing_assay@0.05,satisficing@0.05,scaffold,8,-3.2635697498950567e-05,0.010887228356620777,14.0,0.640625
assay_vs_satisf,acc_mae,satisficing_assay@0.05,satisficing@0.05,source,8,0.1219786044632582,0.09339309103519328,8.0,0.1953125
assay_vs_satisf,viol_violation_rate,satisficing_assay@0.05,satisficing@0.05,source,8,-0.11285150388885831,-0.1038298355304132,1.0,0.015625
assay_vs_satisf,dec_false_safe_rate,satisficing_assay@0.05,satisficing@0.05,source,8,0.13410449083918113,0.141714234281745,0.0,0.0078125
assay_vs_satisf,acc_mae,satisficing_assay@0.05,satisficing@0.05,threshold,8,-0.015651215613179614,-0.015716997576279382,5.0,0.078125
assay_vs_satisf,dec_false_safe_rate,satisficing_assay@0.05,satisficing@0.05,threshold,8,-0.003162225705329119,0.00417836378295685,18.0,1.0
transfer_vs_satisf,acc_mae,satisficing_transfer@0.05,satisficing@0.05,assay,8,-0.04294763640404631,-0.04335912848341483,0.0,0.0078125
transfer_vs_satisf,viol_violation_rate,satisficing_transfer@0.05,satisficing@0.05,assay,8,0.011128097368973772,0.008803354774126908,8.0,0.1953125
