split_kind,treatment_label,acc_mae,viol_violation_rate,dec_false_safe_rate,cov90
assay,aft_conc,0.599,0.684,0.341,0.688
assay,ensemble_satisficing@0.05,0.606,0.56,0.383,0.388
assay,exact_only,0.602,0.721,0.376,0.263
assay,satisficing@0.02,0.641,0.52,0.389,0.266
assay,satisficing@0.05,0.621,0.559,0.386,0.272
assay,satisficing@0.10,0.618,0.607,0.38,0.273
assay,satisficing@0.20,0.613,0.65,0.371,0.269
assay,tobit,0.625,0.552,0.389,0.26
document,aft_conc,0.622,0.689,0.349,0.674
document,ensemble_satisficing@0.05,0.643,0.609,0.421,0.355
document,exact_only,0.643,0.666,0.412,0.218
document,satisficing@0.02,0.678,0.594,0.431,0.226
document,satisficing@0.05,0.663,0.606,0.43,0.205
document,satisficing@0.10,0.659,0.617,0.414,0.222
document,satisficing@0.20,0.654,0.63,0.413,0.215
document,tobit,0.666,0.607,0.435,0.205
random,aft_conc,0.518,0.665,0.234,0.75
random,ensemble_satisficing@0.05,0.462,0.505,0.244,0.451
random,exact_only,0.459,0.778,0.26,0.3
random,satisficing@0.02,0.499,0.412,0.257,0.336
random,satisficing@0.05,0.477,0.495,0.249,0.332
random,satisficing@0.10,0.472,0.567,0.255,0.332
random,satisficing@0.20,0.468,0.632,0.247,0.336
random,tobit,0.481,0.467,0.251,0.309
scaffold,aft_conc,0.522,0.68,0.273,0.748
scaffold,ensemble_satisficing@0.05,0.48,0.544,0.266,0.439
scaffold,exact_only,0.481,0.794,0.281,0.264
scaffold,satisficing@0.02,0.517,0.447,0.272,0.274
scaffold,satisficing@0.05,0.498,0.544,0.271,0.281
scaffold,satisficing@0.10,0.492,0.618,0.269,0.273
scaffold,satisficing@0.20,0.49,0.657,0.266,0.293
scaffold,tobit,0.5,0.521,0.27,0.264
source,aft_conc,0.729,0.627,0.369,0.578
source,ensemble_satisficing@0.05,0.797,0.525,0.452,0.265
source,exact_only,0.8,0.507,0.453,0.139
source,satisficing@0.02,0.82,0.52,0.42,0.191
source,satisficing@0.05,0.815,0.526,0.439,0.165
source,satisficing@0.10,0.821,0.536,0.446,0.182
source,satisficing@0.20,0.811,0.511,0.448,0.163
source,tobit,0.809,0.509,0.431,0.147
threshold,aft_conc,0.864,,0.277,0.468
threshold,ensemble_satisficing@0.05,0.815,,0.243,0.203
threshold,exact_only,0.871,,0.265,0.095
threshold,satisficing@0.02,0.847,,0.26,0.137
threshold,satisficing@0.05,0.835,,0.259,0.131
threshold,satisficing@0.10,0.839,,0.266,0.119
threshold,satisficing@0.20,0.843,,0.253,0.124
threshold,tobit,0.842,,0.247,0.113
