endpoint,split,fold,seed,n_train,n_calibration,n_calibration_exact,n_test_exact
ABCB1:IC50,assay,0,0,1877,375,346,511
ABCB1:IC50,assay,0,1,1877,375,343,511
ABCB1:IC50,assay,1,0,1968,393,365,425
ABCB1:IC50,assay,1,1,1968,393,348,425
ABCB1:IC50,assay,2,0,1861,372,342,538
ABCB1:IC50,assay,2,1,1861,372,338,538
ABCB1:IC50,assay,3,0,1979,395,366,406
ABCB1:IC50,assay,3,1,1979,395,366,406
ABCB1:IC50,assay,4,0,2031,406,376,366
ABCB1:IC50,assay,4,1,2031,406,372,366
ABCB1:IC50,random,0,0,1943,388,360,452
ABCB1:IC50,random,0,1,1943,388,359,452
ABCB1:IC50,random,1,0,1943,388,359,450
ABCB1:IC50,random,1,1,1943,388,358,450
ABCB1:IC50,random,2,0,1943,388,356,445
ABCB1:IC50,random,2,1,1943,388,359,445
ABCB1:IC50,random,3,0,1943,388,362,451
ABCB1:IC50,random,3,1,1943,388,356,451
ABCB1:IC50,random,4,0,1944,388,361,448
ABCB1:IC50,random,4,1,1944,388,355,448
ABCB1:IC50,scaffold,0,0,1905,381,349,494
ABCB1:IC50,scaffold,0,1,1905,381,344,494
ABCB1:IC50,scaffold,1,0,1938,387,358,456
ABCB1:IC50,scaffold,1,1,1938,387,356,456
ABCB1:IC50,scaffold,2,0,2002,400,370,392
ABCB1:IC50,scaffold,2,1,2002,400,371,392
ABCB1:IC50,scaffold,3,0,1968,393,360,416
ABCB1:IC50,scaffold,3,1,1968,393,370,416
ABCB1:IC50,scaffold,4,0,1903,380,353,488
ABCB1:IC50,scaffold,4,1,1903,380,349,488
CYP1A2:IC50,assay,0,0,3594,718,257,379
CYP1A2:IC50,assay,0,1,3594,718,289,379
CYP1A2:IC50,assay,1,0,3861,772,295,312
CYP1A2:IC50,assay,1,1,3861,772,277,312
CYP1A2:IC50,assay,2,0,3721,744,244,380
CYP1A2:IC50,assay,2,1,3721,744,278,380
CYP1A2:IC50,assay,3,0,3622,724,281,349
CYP1A2:IC50,assay,3,1,3622,724,269,349
CYP1A2:IC50,assay,4,0,3762,752,285,309
CYP1A2:IC50,assay,4,1,3762,752,293,309
CYP1A2:IC50,random,0,0,3712,742,241,379
CYP1A2:IC50,random,0,1,3712,742,263,379
CYP1A2:IC50,random,1,0,3712,742,288,327
CYP1A2:IC50,random,1,1,3712,742,278,327
CYP1A2:IC50,random,2,0,3712,742,256,326
CYP1A2:IC50,random,2,1,3712,742,271,326
CYP1A2:IC50,random,3,0,3712,742,279,367
CYP1A2:IC50,random,3,1,3712,742,269,367
CYP1A2:IC50,random,4,0,3712,742,289,330
CYP1A2:IC50,random,4,1,3712,742,266,330
CYP1A2:IC50,scaffold,0,0,3725,745,269,340
CYP1A2:IC50,scaffold,0,1,3725,745,272,340
CYP1A2:IC50,scaffold,1,0,3715,743,275,372
CYP1A2:IC50,scaffold,1,1,3715,743,266,372
CYP1A2:IC50,scaffold,2,0,3666,733,282,375
CYP1A2:IC50,scaffold,2,1,3666,733,274,375
CYP1A2:IC50,scaffold,3,0,3731,746,272,329
CYP1A2:IC50,scaffold,3,1,3731,746,300,329
CYP1A2:IC50,scaffold,4,0,3723,744,271,313
CYP1A2:IC50,scaffold,4,1,3723,744,279,313
CYP2C19:IC50,assay,0,0,3065,613,291,306
CYP2C19:IC50,assay,0,1,3065,613,280,306
CYP2C19:IC50,assay,1,0,3285,657,280,248
CYP2C19:IC50,assay,1,1,3285,657,284,248
CYP2C19:IC50,assay,2,0,3019,603,273,373
CYP2C19:IC50,assay,2,1,3019,603,262,373
